epoch,loss,mean_squared_error,root_mean_squared_error,val_loss,val_mean_squared_error,val_root_mean_squared_error
0,0.04353315383195877,0.005361215677112341,0.07322032004594803,0.024360416457057,0.0014402501983568072,0.037950627505779266
1,0.03045153059065342,0.0022542926017194986,0.04747939109802246,0.02287091687321663,0.0014391862787306309,0.037936609238386154
2,0.029319684952497482,0.002131145913153887,0.046164337545633316,0.02273711748421192,0.0014291227562353015,0.03780373930931091
3,0.02900121547281742,0.0021104104816913605,0.04593920335173607,0.022597765550017357,0.0013812539400532842,0.03716522455215454
4,0.02866775169968605,0.0020444574765861034,0.045215677469968796,0.023280929774045944,0.0014410133007913828,0.037960682064294815
5,0.028432754799723625,0.0020214749965816736,0.04496081545948982,0.022371701896190643,0.0013483085203915834,0.036719322204589844
6,0.02823767066001892,0.001992050325497985,0.04463239014148712,0.022023823112249374,0.0013475355226546526,0.03670879453420639
7,0.028259770944714546,0.001982958521693945,0.04453042149543762,0.022444073110818863,0.0013603997649624944,0.03688359633088112
8,0.027825847268104553,0.0019258555257692933,0.04388457164168358,0.022019878029823303,0.0013379027368500829,0.03657735139131546
9,0.027687672525644302,0.0019009612733498216,0.043600015342235565,0.022443128749728203,0.0013395888963714242,0.036600396037101746
10,0.02755487710237503,0.001872599241323769,0.04327353835105896,0.022237520664930344,0.0013648150488734245,0.036943402141332626
11,0.02685203030705452,0.0017919711535796523,0.04233168065547943,0.02184467390179634,0.0013520510401576757,0.03677024692296982
12,0.02672799676656723,0.0017734155990183353,0.04211194068193436,0.021699611097574234,0.0013398384908214211,0.03660380467772484
13,0.026598388329148293,0.00175259611569345,0.04186401888728142,0.02186402678489685,0.0013525706017389894,0.0367773100733757
14,0.02647731639444828,0.001737315091304481,0.041681110858917236,0.02171918749809265,0.0013431917177513242,0.03664958104491234
15,0.02642163075506687,0.0017243019538000226,0.04152471572160721,0.022150162607431412,0.0013847141526639462,0.03721174597740173
16,0.026283979415893555,0.0017100601689890027,0.04135287553071976,0.021825850009918213,0.0013639047974720597,0.03693108260631561
17,0.02593597210943699,0.0016678636893630028,0.040839485824108124,0.022561239078640938,0.001365048112347722,0.036946557462215424
18,0.0258915014564991,0.0016608418663963675,0.040753427892923355,0.022337330505251884,0.0013512904988601804,0.03675990179181099
19,0.02578836679458618,0.001645744894631207,0.040567781776189804,0.022296475246548653,0.001361170201562345,0.036894042044878006
20,0.025796493515372276,0.0016498833429068327,0.04061875492334366,0.022799387574195862,0.001362288254313171,0.03690918907523155
21,0.025637518614530563,0.0016280505806207657,0.04034910723567009,0.021670067682862282,0.0013391709653660655,0.036594685167074203
22,0.0255910474807024,0.0016221131663769484,0.040275465697050095,0.021889276802539825,0.0013476497260853648,0.03671034798026085
