epoch,loss,mean_squared_error,root_mean_squared_error,val_loss,val_mean_squared_error,val_root_mean_squared_error
0,0.04181324318051338,0.0043791430070996284,0.06617509573698044,0.02471204847097397,0.001467474503442645,0.03830762952566147
1,0.03020729124546051,0.0021400125697255135,0.04626027122139931,0.022621195763349533,0.0013787245843559504,0.0371311791241169
2,0.02877742610871792,0.0020554668735712767,0.0453372560441494,0.0225400160998106,0.0013736241962760687,0.03706243634223938
3,0.028164535760879517,0.0019999456126242876,0.04472075030207634,0.023096950724720955,0.0014490809990093112,0.0380667969584465
4,0.02906462736427784,0.002089547459036112,0.04571156948804855,0.022477205842733383,0.0013751272344961762,0.03708270937204361
5,0.02862992323935032,0.0020393060985952616,0.04515867680311203,0.022363675758242607,0.0013500183122232556,0.036742594093084335
6,0.02826775051653385,0.001997078536078334,0.04468868300318718,0.02216998301446438,0.0013794043334200978,0.03714033216238022
7,0.027926482260227203,0.001953697996214032,0.044200655072927475,0.022136634215712547,0.0013891324633732438,0.03727106750011444
8,0.027578216046094894,0.0019201699178665876,0.043819744139909744,0.021707046777009964,0.0013919289922341704,0.03730856627225876
9,0.02729056030511856,0.001882548094727099,0.04338834062218666,0.021982969716191292,0.001377588021568954,0.03711587190628052
10,0.027040895074605942,0.0018545262282714248,0.04306421056389809,0.02149105817079544,0.0013526435941457748,0.03677830472588539
11,0.026916325092315674,0.0018444211455062032,0.04294672608375549,0.023388812318444252,0.0014807924162596464,0.03848106414079666
12,0.027872968465089798,0.001931612379848957,0.04395011067390442,0.023295190185308456,0.0014123410219326615,0.037581127136945724
13,0.027725571766495705,0.0019074667943641543,0.04367455467581749,0.021977286785840988,0.001368940924294293,0.03699920326471329
14,0.027563584968447685,0.0018785701831802726,0.043342474848032,0.021866261959075928,0.0013421690091490746,0.0366356261074543
15,0.027354227378964424,0.001852470450103283,0.043040335178375244,0.022010652348399162,0.0013470578705891967,0.03670228645205498
16,0.027149055153131485,0.0018215036252513528,0.0426790788769722,0.02183283306658268,0.0013603521510958672,0.036882951855659485
17,0.02690701186656952,0.0017826847033575177,0.04222185164690018,0.021979374811053276,0.00137794716283679,0.03712071105837822
18,0.026721488684415817,0.0017544758738949895,0.04188646376132965,0.021850910037755966,0.0013784122420474887,0.037126973271369934
19,0.026468615978956223,0.0017186710610985756,0.041456859558820724,0.021915968507528305,0.001394152408465743,0.03733834996819496
20,0.026287486776709557,0.0016966512193903327,0.04119042679667473,0.021811790764331818,0.0013654023641720414,0.036951351910829544
