epoch,loss,mean_squared_error,root_mean_squared_error,val_loss,val_mean_squared_error,val_root_mean_squared_error
0,0.03825639933347702,0.00395556865260005,0.06289330869913101,0.020906003192067146,0.0012657410698011518,0.035577256232500076
1,0.02945070154964924,0.0020448097493499517,0.04521957412362099,0.021314719691872597,0.0012358945095911622,0.035155292600393295
2,0.02843048982322216,0.0019095264142379165,0.04369812831282616,0.02001219429075718,0.001191309536807239,0.03451535105705261
3,0.02799227088689804,0.0018643265357241035,0.04317784681916237,0.02006528154015541,0.0011664334451779723,0.03415308892726898
4,0.027717959135770798,0.0018354299245402217,0.042841918766498566,0.01994962990283966,0.0011642308672890067,0.0341208279132843
5,0.027013201266527176,0.0017454706830903888,0.04177882894873619,0.019628848880529404,0.0011400635121390224,0.033764827996492386
6,0.026896489784121513,0.0017314156284555793,0.04161028191447258,0.019484424963593483,0.001138982130214572,0.033748809248209
7,0.026826322078704834,0.0017188915517181158,0.04145951569080353,0.01944543793797493,0.0011291325790807605,0.03360256925225258
8,0.026820778846740723,0.0017172605730593204,0.04143984243273735,0.019449196755886078,0.0011301743797957897,0.03361806645989418
9,0.026610663160681725,0.001693696598522365,0.04115454480051994,0.01936943084001541,0.001126278075389564,0.03356006741523743
10,0.026634028181433678,0.0016926786629483104,0.04114217683672905,0.01942937634885311,0.0011238064616918564,0.03352322429418564
11,0.026587454602122307,0.0016950566787272692,0.04117106646299362,0.01936902292072773,0.001123982947319746,0.03352585434913635
12,0.026542475447058678,0.0016841444885358214,0.041038330644369125,0.019359469413757324,0.001125263748690486,0.03354495018720627
13,0.02656920626759529,0.001687508076429367,0.041079290211200714,0.0193380918353796,0.0011265258071944118,0.0335637591779232
14,0.026563268154859543,0.0016880156472325325,0.041085466742515564,0.019335493445396423,0.001126484596170485,0.033563144505023956
