epoch,loss,mean_squared_error,root_mean_squared_error,val_loss,val_mean_squared_error,val_root_mean_squared_error
0,0.0632900670170784,0.009784797206521034,0.0989181324839592,0.036995645612478256,0.0019389496883377433,0.04403350502252579
1,0.0391690731048584,0.0027351223398,0.052298396825790405,0.02658749558031559,0.001347286975942552,0.03670540824532509
2,0.03397299349308014,0.002186636906117201,0.046761490404605865,0.02488682232797146,0.0012891327496618032,0.03590449318289757
3,0.03138100728392601,0.002006019465625286,0.04478861019015312,0.02437686175107956,0.0012694895267486572,0.03562989830970764
4,0.030003054067492485,0.0019363565370440483,0.04400405287742615,0.022934427484869957,0.0012408728944137692,0.03522602468729019
5,0.02904195711016655,0.001882088021375239,0.04338303953409195,0.022305186837911606,0.0012645777314901352,0.03556090220808983
6,0.028505513444542885,0.0018816784722730517,0.0433783195912838,0.02182210050523281,0.0012205032398924232,0.03493570163846016
7,0.028009118512272835,0.0018493515672162175,0.04300408810377121,0.02274514175951481,0.0012582859490066767,0.0354723259806633
8,0.027688367292284966,0.0018427754985168576,0.04292755946516991,0.021229205653071404,0.00122024433221668,0.03493199497461319
9,0.02745681442320347,0.001830107532441616,0.04277975484728813,0.02100665681064129,0.0012158952886238694,0.034869689494371414
10,0.027060609310865402,0.00180236273445189,0.04245424270629883,0.021316898986697197,0.0012285909615457058,0.03505126014351845
11,0.026940448209643364,0.0017979524563997984,0.042402271181344986,0.020876215770840645,0.0012334834318608046,0.03512098267674446
12,0.02673911489546299,0.0017820453504100442,0.042214278131723404,0.020948760211467743,0.001232819282449782,0.035111527889966965
13,0.026568951085209846,0.001755010918714106,0.041892848908901215,0.020817287266254425,0.0012087117647752166,0.034766532480716705
14,0.026345308870077133,0.001731431344524026,0.0416104719042778,0.02111090160906315,0.0012061420129612088,0.03472955524921417
15,0.026283778250217438,0.0017329152906313539,0.04162829741835594,0.021117888391017914,0.0011976457899436355,0.034607019275426865
16,0.02612496167421341,0.00171575671993196,0.041421692818403244,0.02059275284409523,0.0011972928186878562,0.03460191935300827
17,0.025988586246967316,0.0017089939210563898,0.04133997857570648,0.021121464669704437,0.0012056927662342787,0.03472308814525604
18,0.02592591382563114,0.001704167458228767,0.0412815622985363,0.020670469850301743,0.00118762266356498,0.03446190059185028
19,0.02581285871565342,0.001693368423730135,0.04115055873990059,0.020465098321437836,0.0011916904477402568,0.034520868211984634
20,0.025732338428497314,0.001683207112364471,0.04102690890431404,0.020469218492507935,0.0011939253890886903,0.034553226083517075
21,0.025754479691386223,0.0016928358236327767,0.04114408791065216,0.020534411072731018,0.0011893089395016432,0.03448635712265968
22,0.025701142847537994,0.001685433555394411,0.04105403274297714,0.020511897280812263,0.0011902705300599337,0.03450029715895653
23,0.02566576562821865,0.0016812968533486128,0.04100361838936806,0.02045920118689537,0.0011907120933756232,0.034506697207689285
24,0.02707403339445591,0.0017949872417375445,0.04236729070544243,0.021293960511684418,0.0012572185369208455,0.03545727580785751
25,0.026780754327774048,0.0017706064973026514,0.04207857698202133,0.02121829427778721,0.0012102508917450905,0.03478866070508957
26,0.026532325893640518,0.0017513302154839039,0.04184889793395996,0.020957570523023605,0.0012155176373198628,0.03486427292227745
27,0.0264111440628767,0.00173593417275697,0.041664544492959976,0.0217849500477314,0.001218165154568851,0.03490222245454788
