epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_RMSE,val_loss
0,696,,0.36225438117980957,,,
0,696,,,2.498549461364746,3.5175209045410156,0.35199394822120667
0,696,0.43165743350982666,,,,
1,1393,,0.35810866951942444,,,
1,1393,,,2.155503273010254,3.1036362648010254,0.3180520236492157
1,1393,0.34970495104789734,,,,
2,2090,,0.33980250358581543,,,
2,2090,,,2.1224775314331055,3.059422016143799,0.3131057024002075
2,2090,0.3315185010433197,,,,
3,2787,,0.30933964252471924,,,
3,2787,,,2.062084674835205,2.996898889541626,0.30658769607543945
3,2787,0.32403337955474854,,,,
4,3484,,0.2977119982242584,,,
4,3484,,,2.048419952392578,2.9827466011047363,0.30443763732910156
4,3484,0.3191904127597809,,,,
5,4181,,0.3042316734790802,,,
5,4181,,,2.048862934112549,2.9680263996124268,0.3051036298274994
5,4181,0.3160112500190735,,,,
6,4878,,0.3313046991825104,,,
6,4878,,,2.03546404838562,2.9502031803131104,0.30363479256629944
6,4878,0.31365618109703064,,,,
7,5575,,0.3494630753993988,,,
7,5575,,,2.0428528785705566,2.9512717723846436,0.3045079708099365
7,5575,0.3117849826812744,,,,
8,6272,,0.30545416474342346,,,
8,6272,,,2.0284433364868164,2.936558246612549,0.30264806747436523
8,6272,0.3103129267692566,,,,
9,6969,,0.30442285537719727,,,
9,6969,,,2.026259422302246,2.9363598823547363,0.3020310699939728
9,6969,0.30839821696281433,,,,
10,7666,,0.2761837840080261,,,
10,7666,,,2.015535354614258,2.9178881645202637,0.3018447756767273
10,7666,0.30721908807754517,,,,
11,8363,,0.277994841337204,,,
11,8363,,,2.0153756141662598,2.9187300205230713,0.30129843950271606
11,8363,0.3058392107486725,,,,
12,9060,,0.31215518712997437,,,
12,9060,,,1.990794062614441,2.9047722816467285,0.29839977622032166
12,9060,0.30476343631744385,,,,
13,9757,,0.30432960391044617,,,
13,9757,,,2.0130615234375,2.9106247425079346,0.3010117709636688
13,9757,0.30350807309150696,,,,
14,10454,,0.31059324741363525,,,
14,10454,,,1.9921972751617432,2.8962371349334717,0.2984354794025421
14,10454,0.302968829870224,,,,
15,11151,,0.3343125879764557,,,
15,11151,,,2.004145860671997,2.9018537998199463,0.2999541759490967
15,11151,0.3022455871105194,,,,
16,11848,,0.30143341422080994,,,
16,11848,,,1.9932745695114136,2.899179697036743,0.29796046018600464
16,11848,0.301267147064209,,,,
17,12545,,0.32335183024406433,,,
17,12545,,,1.9710254669189453,2.8867557048797607,0.2957056760787964
17,12545,0.3004036843776703,,,,
